[12:01:36.222][INFO] Logger initialized. Log file: archi.log
[12:01:36.226][INFO] Application init...
[12:01:36.378][INFO] OpenGL 3.3
[12:01:36.397][INFO] Entering state: Loading
[12:01:36.397][INFO] Loading resources (fake)...
[12:01:36.397][INFO] Application init done
[12:01:36.397][INFO] Application run...
[12:01:37.802][TRACE] dt=0.0055035
[12:01:37.807][TRACE] dt=0.005529
[12:01:37.813][TRACE] dt=0.0055563
[12:01:37.818][TRACE] dt=0.0055561
[12:01:37.824][TRACE] dt=0.0055779
[12:01:37.829][TRACE] dt=0.0055448
[12:01:37.835][TRACE] dt=0.0055661
[12:01:37.841][TRACE] dt=0.0055366
[12:01:37.846][TRACE] dt=0.005534
[12:01:37.852][TRACE] dt=0.0055956
[12:01:37.857][TRACE] dt=0.0055555
[12:01:37.863][TRACE] dt=0.0055407
[12:01:37.868][TRACE] dt=0.0055663
[12:01:37.874][TRACE] dt=0.0055452
[12:01:37.879][TRACE] dt=0.0055738
[12:01:37.885][TRACE] dt=0.0055632
[12:01:37.891][TRACE] dt=0.005577
[12:01:37.896][TRACE] dt=0.0055344
[12:01:37.902][TRACE] dt=0.005535
[12:01:37.907][INFO] deltaTime (s) last frame: 0.0055664 | approx FPS: 179.649
[12:01:37.913][TRACE] dt=0.0055559
[12:01:37.918][TRACE] dt=0.0055327
[12:01:37.924][TRACE] dt=0.0055552
[12:01:37.929][TRACE] dt=0.0055768
[12:01:37.935][TRACE] dt=0.0055594
[12:01:37.941][TRACE] dt=0.0055637
[12:01:37.946][TRACE] dt=0.0055417
[12:01:37.952][TRACE] dt=0.0055498
[12:01:37.957][TRACE] dt=0.0056168
[12:01:37.963][TRACE] dt=0.0054752
[12:01:37.968][TRACE] dt=0.0056614
[12:01:37.974][TRACE] dt=0.0054485
[12:01:37.979][TRACE] dt=0.0056007
[12:01:37.985][TRACE] dt=0.0055098
[12:01:37.991][TRACE] dt=0.0055725
[12:01:37.996][TRACE] dt=0.0056045
[12:01:38.002][TRACE] dt=0.0054981
[12:01:38.007][TRACE] dt=0.0055735
[12:01:38.013][TRACE] dt=0.0055427
[12:01:38.018][TRACE] dt=0.0055936
[12:01:38.024][TRACE] dt=0.0055111
[12:01:38.029][TRACE] dt=0.005604
[12:01:38.035][TRACE] dt=0.0055311
[12:01:38.040][TRACE] dt=0.0055231
[12:01:38.046][TRACE] dt=0.0055933
[12:01:38.052][TRACE] dt=0.0055519
[12:01:38.057][TRACE] dt=0.0055543
[12:01:38.063][TRACE] dt=0.0055339
[12:01:38.068][TRACE] dt=0.0055536
[12:01:38.074][TRACE] dt=0.0055673
[12:01:38.079][TRACE] dt=0.0055712
[12:01:38.085][TRACE] dt=0.005534
[12:01:38.091][TRACE] dt=0.0055651
[12:01:38.096][TRACE] dt=0.0055468
[12:01:38.102][TRACE] dt=0.0055802
[12:01:38.107][TRACE] dt=0.005552
[12:01:38.113][TRACE] dt=0.0055283
[12:01:38.118][TRACE] dt=0.0055528
[12:01:38.124][TRACE] dt=0.0055626
[12:01:38.129][TRACE] dt=0.0056684
[12:01:38.135][TRACE] dt=0.0054623
[12:01:38.140][TRACE] dt=0.0055188
[12:01:38.146][TRACE] dt=0.0056281
[12:01:38.152][TRACE] dt=0.0054927
[12:01:38.157][TRACE] dt=0.0055592
[12:01:38.163][TRACE] dt=0.0055708
[12:01:38.168][TRACE] dt=0.0055832
[12:01:38.174][TRACE] dt=0.0055095
[12:01:38.179][TRACE] dt=0.0055677
[12:01:38.185][TRACE] dt=0.0055802
[12:01:38.191][TRACE] dt=0.0055434
[12:01:38.196][TRACE] dt=0.0055465
[12:01:38.202][TRACE] dt=0.0055649
[12:01:38.207][TRACE] dt=0.0055348
[12:01:38.213][TRACE] dt=0.0055779
[12:01:38.218][TRACE] dt=0.0055189
[12:01:38.224][TRACE] dt=0.005568
[12:01:38.229][TRACE] dt=0.0055688
[12:01:38.235][TRACE] dt=0.0055738
[12:01:38.241][TRACE] dt=0.0055717
[12:01:38.246][TRACE] dt=0.0055397
[12:01:38.252][TRACE] dt=0.0055437
[12:01:38.257][TRACE] dt=0.0056204
[12:01:38.263][TRACE] dt=0.0054759
[12:01:38.268][TRACE] dt=0.0056806
[12:01:38.274][TRACE] dt=0.0054632
[12:01:38.279][TRACE] dt=0.0055134
[12:01:38.285][TRACE] dt=0.0055726
[12:01:38.290][TRACE] dt=0.0055528
[12:01:38.296][TRACE] dt=0.0055437
[12:01:38.302][TRACE] dt=0.0055753
[12:01:38.307][TRACE] dt=0.0055539
[12:01:38.313][TRACE] dt=0.005546
[12:01:38.318][TRACE] dt=0.0055231
[12:01:38.324][TRACE] dt=0.0056162
